Metric,Experiment 1 - Default,Experiment 1 - Power-Aware,Experiment 2 - Default,Experiment 2 - Power-Aware,Experiment 3 - Default,Experiment 3 - Power-Aware
LBF (CPU),0.7827471693775023,0.8572115003479673,0.3279343641044422,0.5091505271510819,0.22620716882890995,0.3235223249176395
LBF (Memory),0.7384105907012318,0.7272316303814507,0.24608894968304384,0.38169141956030606,0.1233013244399122,0.11364496418342765
LBF (Pod),1.088117640698835,1.0601886624558856,0.96850400102426,0.8865664103720601,0.9402149362435309,0.9772205852164618
Average Power Consumption (W),6845.312487161331,1453.1323516889113,8164.347110894968,5709.139164774498,8451.8693059211,5715.773273590179
Average Resource Fragmentation,0.0,0.0,0.0,0.0,0.0037258376726391007,0.0004822573941804716
Unscheduled Pods Ratio,0.0,0.0,0.0,0.0,0.032692307692307694,0.0019230769230769232
