Hour,Target Pods,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
0,50,50,0,19,6148.766803755151,0.0,0.7867593197561276,0.7805827051277129,1.0770329614269003
1,100,100,0,20,6845.487007800059,0.0,0.7790558436410658,0.7390414979479858,1.0963576058932594
2,200,200,0,23,7623.594135230275,0.0,0.5838968481533598,0.5672042417235085,1.0087120500916005
3,300,300,0,30,8187.356414566141,0.0,0.2518763231150934,0.16014214728506082,0.9553358920644962
4,400,400,0,30,8355.864203880712,0.0,0.25334752808115824,0.16711946649124018,0.9540702280230737
5,300,300,0,30,8174.166696380671,0.0,0.2697506095498269,0.19607922338228567,0.960902353693305
6,150,150,0,24,7359.458306451161,0.0,0.5820910072260878,0.5283710174197419,1.0039920318408906
7,50,50,0,18,5970.143833743031,0.0,0.875539331256115,0.8581011537219181,1.1419281938896155
