Hour,Target Pods,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
0,50,50,0,14,932.0425872100528,0.0,1.1784215885227032,1.095263383965454,1.634625339336204
1,100,100,0,20,2099.3048577698273,0.0,0.828338754787318,0.7372437663059218,1.0990905331227268
2,200,200,0,25,4825.946339441122,0.0,0.65901319298167,0.5801348666894773,1.3112970677920395
3,300,300,0,26,5767.30922657941,0.0,0.5050591755039824,0.43563890839405794,1.159597631364719
4,400,400,0,28,6943.847978320262,0.0,0.3903722883125085,0.31004009431351015,1.084665847162157
5,300,300,0,21,5614.556843990637,0.0,0.7600676267602134,0.6923477964482521,1.3391539617733779
6,150,150,0,16,3512.353608620078,0.0,1.0921815003672497,1.031656213648874,1.6124515496597098
7,50,50,0,11,1406.3833387405239,0.0,1.4260352079346827,1.407299024442219,1.7134759992483115
