s_cpu,s_mem,s_node_frag,s_active,s_lbf_c,s_lbf_m,b_cpu_avg,b_mem_avg,w_pod,w_cpu,w_mem,w_pow,r_pow,r_node_frag,r_paper_frag,r_unsched,r_active,r_lbf_c,r_lbf_m
0.0,0.0,1.0,0,0,0,1.032,4.9369,0.0893,0.5264,0.2578,0.1264,1077.53,0.659337,0.0,0.0,15,1.1308,1.0934
0.3571,0.3459,0.6593,15,1.1308,1.0934,0.9502,5.0738,0.016,0.054,0.9167,0.0133,2090.47,0.481146,0.0,0.0,20,0.8251,0.7653
0.4899,0.5369,0.4811,20,0.8251,0.7653,1.0032,5.059,0.3511,0.2326,0.2152,0.2011,7101.9,0.430595,0.0,0.0,30,0.6664,0.6158
0.5363,0.5892,0.4306,30,0.6664,0.6158,0.9672,5.0117,0.1029,0.0509,0.0514,0.7948,7488.1,0.383283,0.0,0.0,30,0.5408,0.5101
0.584,0.6384,0.3833,30,0.5408,0.5101,0.9942,4.925,0.3704,0.1594,0.2477,0.2225,7901.41,0.331125,0.0,0.0,30,0.4459,0.3899
0.6284,0.6913,0.3311,30,0.4459,0.3899,0.996,5.0269,0.4072,0.2595,0.0934,0.24,8078.15,0.291524,0.0,0.0,30,0.3749,0.3084
0.6716,0.7312,0.2915,30,0.3749,0.3084,0.9334,4.9379,0.2899,0.2904,0.1723,0.2474,8134.5,0.251004,0.0,0.0,30,0.363,0.2852
0.7142,0.773,0.251,30,0.363,0.2852,1.0238,5.0682,0.268,0.0896,0.3023,0.3401,8222.38,0.211311,0.0,0.0,30,0.3332,0.2415
0.7544,0.8131,0.2113,30,0.3332,0.2415,1.0096,5.0095,0.0112,0.081,0.0625,0.8454,8331.16,0.175335,0.0,0.0,30,0.2987,0.1838
0.7899,0.8492,0.1753,30,0.2987,0.1838,1.0396,5.0817,0.1739,0.5113,0.2353,0.0796,8424.02,0.147195,0.004416,0.03,30,0.2585,0.1467
0.8123,0.8819,0.1472,30,0.2585,0.1467,0.9596,4.9319,0.255,0.4489,0.11,0.1861,8424.02,0.147195,0.017396,0.1182,30,0.2585,0.1467
0.8123,0.8819,0.1472,30,0.2585,0.1467,0.9832,5.1221,0.2484,0.3381,0.2612,0.1523,8424.02,0.147195,0.028212,0.1917,30,0.2585,0.1467
0.0,0.0,1.0,0,0,0,0.9696,4.9845,0.3002,0.3305,0.0764,0.2929,2662.71,0.645764,0.0,0.0,22,1.0068,0.9158
0.3259,0.3696,0.6458,22,1.0068,0.9158,0.9894,4.9541,0.0949,0.8515,0.015,0.0386,2799.99,0.487389,0.0,0.0,22,0.8411,0.7618
0.4786,0.5345,0.4874,22,0.8411,0.7618,1.0412,4.9166,0.0131,0.0689,0.0966,0.8214,4895.72,0.421651,0.0,0.0,26,0.6623,0.6206
0.5407,0.6036,0.4217,26,0.6623,0.6206,1.005,4.9464,0.1301,0.2487,0.2355,0.3856,7393.82,0.375775,0.0,0.0,30,0.5575,0.5236
0.5829,0.6508,0.3758,30,0.5575,0.5236,0.9948,4.9129,0.02,0.8625,0.0504,0.0671,7494.4,0.340543,0.0,0.0,30,0.5273,0.4689
0.6281,0.6859,0.3405,30,0.5273,0.4689,0.9554,4.8749,0.0585,0.3553,0.143,0.4432,7628.48,0.300518,0.0,0.0,30,0.4776,0.4122
