Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,14,932.8147760309987,0.0,1.1775105011718285,1.1128248187174823,1.6923356641044947
2,100,0,30,6497.87091304064,0.0,0.8141180762109183,0.7578378514205271,0.9176055797563568
3,150,0,30,6714.831830799724,0.0,0.7042399204855064,0.6600504813291734,1.2447221912271562
4,200,0,30,7028.7091639097425,0.0,0.6290124868397255,0.5798990055953473,1.330601367803295
5,250,0,30,7238.072047806104,0.0,0.5602253267241885,0.5184001908822523,1.2888444436781346
6,300,0,30,7689.377383012995,0.0,0.4505428743775243,0.40889338783214757,1.0819735055289785
7,350,0,30,7791.682604460376,0.0,0.410197618438822,0.36510389670346033,1.1019833696289503
8,400,0,30,8175.683621273031,0.0,0.330888926762488,0.2665127440901746,1.002933198174235
9,450,0,30,8373.700014771646,0.0,0.26648464836728525,0.17473811801459127,0.9686951896083568
10,500,22,30,8431.950446894061,0.006922567212181701,0.23800390034638644,0.15747270817201947,0.9679570651049335
11,550,72,30,8431.950446894061,0.02059606773872242,0.23800390034638644,0.15747270817201947,0.9679570651049335
