s_cpu,s_mem,s_node_frag,s_active,s_lbf_c,s_lbf_m,b_cpu_avg,b_mem_avg,w_pod,w_cpu,w_mem,w_pow,r_pow,r_node_frag,r_paper_frag,r_unsched,r_active,r_lbf_c,r_lbf_m
0.0,0.0,1.0,0,0,0,0.9872,5.0369,0.0801,0.0924,0.7761,0.0513,1075.6,0.646512,0.0,0.0,15,1.192,1.0996
0.339,0.3703,0.6465,15,1.192,1.0996,1.028,4.8358,0.357,0.1423,0.3088,0.1919,6675.27,0.536038,0.0,0.0,30,0.821,0.7226
0.4359,0.4837,0.536,30,0.821,0.7226,1.0112,5.0394,0.0894,0.0558,0.0525,0.8024,7044.5,0.429126,0.0,0.0,30,0.6954,0.6058
0.5357,0.5981,0.4291,30,0.6954,0.6058,0.897,5.0181,0.3525,0.1274,0.2955,0.2246,7536.87,0.38633,0.0,0.0,30,0.5851,0.4814
0.5718,0.6432,0.3863,30,0.5851,0.4814,1.0072,5.0364,0.3222,0.1649,0.1985,0.3144,7851.96,0.342945,0.0,0.0,30,0.4835,0.3805
0.6144,0.6871,0.3429,30,0.4835,0.3805,1.0022,5.1095,0.3843,0.0835,0.1731,0.359,8061.08,0.301134,0.0,0.0,30,0.4115,0.3026
0.6559,0.7305,0.3011,30,0.4115,0.3026,0.9502,5.1081,0.0887,0.3016,0.3681,0.2417,8111.05,0.260332,0.0,0.0,30,0.407,0.2742
0.6997,0.7714,0.2603,30,0.407,0.2742,0.9314,4.917,0.3096,0.1811,0.2568,0.2524,8203.52,0.222221,0.0,0.0,30,0.3751,0.2299
0.7361,0.8105,0.2222,30,0.3751,0.2299,0.993,5.1227,0.0849,0.2226,0.3877,0.3049,8338.85,0.18269,0.0,0.0,30,0.3314,0.183
0.7706,0.8537,0.1827,30,0.3314,0.183,0.9552,4.8204,0.2399,0.1874,0.3173,0.2555,8412.43,0.156033,0.002809,0.018,30,0.3023,0.1397
0.7962,0.882,0.156,30,0.3023,0.1397,1.0164,5.0623,0.2248,0.0884,0.4068,0.28,8412.43,0.156033,0.016738,0.1073,30,0.3023,0.1397
0.7962,0.882,0.156,30,0.3023,0.1397,1.0112,5.0457,0.0599,0.7671,0.0903,0.0827,8412.43,0.156033,0.028346,0.1817,30,0.3023,0.1397
